Date,Description,Amount
2026-01-05,SQ *ANYTIME FITNESS 4471,49.00
2026-01-09,NETFLIX.COM,15.49
2026-01-12,COMCAST CABLE COMM 8009346489,89.99
2026-01-17,SHELL OIL 5744,7.11
2026-01-18,DROPBOX*PLUS,11.99
2026-01-22,GOOGLE *ONE,2.99
2026-02-04,UBER *TRIP,38.70
2026-02-05,POS DEBIT ANYTIME FIT #221,49.00
2026-02-09,NETFLIX.COM,15.49
2026-02-12,COMCAST CABLE COMM 8009346489,89.99
2026-02-18,DROPBOX*PLUS,11.99
2026-02-19,BLUE BOTTLE COFFEE,50.50
2026-02-19,TRADER JOES #189,55.38
2026-02-22,GOOGLE *ONE,2.99
2026-02-25,UBER *TRIP,51.56
2026-02-27,UBER *TRIP,11.81
2026-03-02,CALM.COM SUBSCRIPTION,14.99
2026-03-04,UBER *TRIP,51.41
2026-03-05,ANYTIME FITNESS INC,49.00
2026-03-09,NETFLIX.COM,15.49
2026-03-10,WALGREENS #4412,15.97
2026-03-12,COMCAST CABLE COMM 8009346489,89.99
2026-03-18,DROPBOX*PLUS,11.99
2026-03-22,GOOGLE *ONE,2.99
2026-04-02,CALM.COM SUBSCRIPTION,14.99
2026-04-03,UBER *TRIP,28.92
2026-04-05,SQ *ANYTIME FITNESS 4471,49.00
2026-04-09,NETFLIX.COM,15.49
2026-04-12,COMCAST CABLE COMM 8009346489,89.99
2026-04-12,TRADER JOES #189,49.46
2026-04-18,DROPBOX*PLUS,11.99
2026-04-21,UBER *TRIP,82.66
2026-04-22,GOOGLE *ONE,2.99
2026-05-02,CALM.COM SUBSCRIPTION,14.99
2026-05-05,POS DEBIT ANYTIME FIT #221,49.00
2026-05-09,NETFLIX.COM,15.49
2026-05-12,COMCAST CABLE COMM 8009346489,129.99
2026-05-18,DROPBOX*PLUS,11.99
2026-05-21,UBER *TRIP,86.43
2026-05-22,GOOGLE *ONE,2.99
2026-06-02,CALM.COM SUBSCRIPTION,14.99
2026-06-05,ANYTIME FITNESS INC,49.00
2026-06-05,WALGREENS #4412,58.03
2026-06-05,WALGREENS #4412,39.00
2026-06-09,NETFLIX.COM,15.49
2026-06-10,SHELL OIL 5744,69.93
2026-06-11,BLUE BOTTLE COFFEE,53.33
2026-06-12,COMCAST CABLE COMM 8009346489,129.99
2026-06-14,DELTA AIR LINES,412.30
2026-06-14,DELTA AIR LINES,412.30
2026-06-15,UBER *TRIP,80.65
2026-06-18,DROPBOX*PLUS,11.99
2026-06-22,GOOGLE *ONE,2.99
2026-07-02,CALM.COM SUBSCRIPTION,14.99
2026-07-02,UBER *TRIP,14.28
2026-07-02,SHELL OIL 5744,7.87
2026-07-05,SQ *ANYTIME FITNESS 4471,49.00
2026-07-09,NETFLIX.COM,15.49
2026-07-12,COMCAST CABLE COMM 8009346489,129.99
2026-07-14,TRADER JOES #189,23.98
2026-07-18,DROPBOX*PLUS,11.99
2026-07-22,GOOGLE *ONE,2.99
2026-08-02,CALM.COM SUBSCRIPTION,14.99
2026-08-03,TRADER JOES #189,82.41
2026-08-05,POS DEBIT ANYTIME FIT #221,49.00
2026-08-09,NETFLIX.COM,15.49
2026-08-11,WALGREENS #4412,27.90
2026-08-12,COMCAST CABLE COMM 8009346489,129.99
2026-08-18,DROPBOX*PLUS,11.99
2026-08-22,GOOGLE *ONE,2.99
2026-08-22,UBER *TRIP,39.49
2026-08-23,TRADER JOES #189,9.04
